"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"03.10.2023","99,1930","99,7650","100,0638","99,0517","","-0,57%"
"02.10.2023","99,7650","97,9675","99,9331","97,9675","","1,83%"
"29.09.2023","97,9675","96,8025","98,0244","96,8025","","1,20%"
"28.09.2023","96,8025","96,9075","97,2762","96,5824","","-0,11%"
"27.09.2023","96,9075","96,3775","96,9075","96,2275","","0,55%"
"26.09.2023","96,3775","96,2350","96,3796","96,0189","","0,15%"
"25.09.2023","96,2350","96,2500","96,5272","95,9266","","-0,02%"
"22.09.2023","96,2500","95,9100","96,2553","95,7923","","0,35%"
"21.09.2023","95,9100","96,1500","96,6300","95,4083","","-0,25%"
"20.09.2023","96,1500","96,8400","96,9225","96,1500","","-0,71%"
"19.09.2023","96,8400","96,5450","97,0000","95,8950","","0,31%"
"18.09.2023","96,5450","96,8100","97,1645","96,2253","","-0,27%"
"15.09.2023","96,8100","97,3400","97,3400","96,1240","","-0,54%"
"14.09.2023","97,3400","96,2250","97,3553","95,6868","","1,16%"
"13.09.2023","96,2250","94,9425","96,5712","94,5975","","1,35%"
"12.09.2023","94,9425","95,0825","95,1962","92,5561","","-0,15%"
"11.09.2023","95,0825","97,7825","97,7825","95,0825","","-2,76%"
"08.09.2023","97,7825","98,2475","98,5710","97,6586","","-0,47%"
"07.09.2023","98,2475","98,1225","98,5448","97,4735","","0,13%"
"06.09.2023","98,1225","97,9050","98,4443","97,4246","","0,22%"
"05.09.2023","97,9050","96,8700","97,9050","96,8700","","1,07%"
"04.09.2023","96,8700","96,0900","96,9349","96,0900","","0,81%"